@relation "myrelation"
@attribute feat string
@attribute lemma string
@attribute link string
@attribute sms string
@attribute classatr {positive,negative,neutral}
@data
'CONJ', 'ЧТОБЫ', 'обст', 'чтобы', negative
'S ЕД ЖЕН ИМ ОД', 'ТЫ', 'предик', 'ты', negative
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'УЛЫБАТЬСЯ', 'подч-союзн', 'улыбалась', negative
'CONJ', 'КАК', 'сравнит', 'как', negative
'PART', 'И', 'огранич', 'и', negative
'ADV', 'ВСЕГДА', 'сравн-союзн', 'всегда', negative
'PR', 'У', '1-компл', 'у', negative
'S ЕД МУЖ РОД ОД', 'Я', 'предл', 'меня', negative
'V НЕСОВ ИЗЪЯВ НАСТ МН 3-Л', 'БЫТЬ', '', 'есть', negative
'A МН ИМ', 'ТАКОЙ', 'опред', 'такие', negative
'S МН МУЖ ИМ ОД', 'ОДНОКЛАССНИК', 'предик', 'одноклассники', negative
'ADV', 'ТАК', 'обст', 'так', negative
'A ЕД СРЕД ИМ', 'ТОТ', 'опред', 'то', negative
'S ЕД СРЕД ИМ НЕОД', 'ЛЕТО', 'предик', 'лето', negative
'A КР ЕД СРЕД', 'СКОРЫЙ', 'fictit', 'скоро', negative
'NID', 'ЧЕ', '', 'че', negative
'PR', 'ЗА', 'fictit', 'за', negative
'NID', 'МАЗАФАКА', 'предл', 'мазафака', negative
'CONJ', 'ДА', '', 'да', negative
'ADV', 'ЛАДНО', 'соч-союзн', 'ладно', negative
'PART', 'НЕ', 'огранич', 'не', negative
'S ЕД ЖЕН РОД НЕОД', 'ГРУСТЬ', '', 'грусти', negative
'CONJ', 'ДА', '', 'да', negative
'S ЕД МУЖ ДАТ ОД', 'КТО', '2-компл', 'Кому', negative
'ADV', 'СЕГОДНЯ', 'обст', 'сегодня', negative
'V НЕСОВ ИНФ', 'СДАВАТЬ', '', 'сдавать', negative
'S МН МУЖ ВИН НЕОД', 'ЭКЗАМЕН', '1-компл', 'экзамены', negative
'S ЕД МУЖ ИМ НЕОД', 'МАЙ', '', 'Май', negative
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'сочин', 'ты', negative
'S ЕД МУЖ ИМ НЕОД', 'БЛИН', 'сочин', 'блин', negative
'S ЕД МУЖ ИМ НЕОД', 'МАЙ', 'предик', 'май', negative
'CONJ', 'ИЛИ', 'сочин', 'или', negative
'S ЕД МУЖ ИМ НЕОД', 'НОЯБРЬ', 'соч-союзн', 'ноябрь', negative
'S ЕД ЖЕН ИМ НЕОД', 'ЖИЗНЬ', '', 'жизнь', negative
'NID', 'ОБЩАЖНАЯ', 'квазиагент', 'общажная', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ПОЙТИ', '', 'пошла', negative
'PR', 'В', '2-компл', 'в', negative
'NID', 'ШКОЛУУ', 'предл', 'школуу', negative
'S ЕД СРЕД ИМ НЕОД', 'ГЛАВНОЕ', '', 'Главное', negative
'V СОВ ИНФ', 'ПЕРЕЖИВАТЬ', 'предик', 'пережить', negative
'NUM', '8', 'количест', '8', negative
'S МН МУЖ РОД НЕОД', 'УРОК', '1-компл', 'уроков', negative
'NID', 'ФОРСКВЕР', 'предик', 'Форсквер', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ГОВОРИТЬ', '', 'говорит', negative
'CONJ', 'ЧТО', '1-компл', 'что', negative
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'я', negative
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'БЫТЬ', 'подч-союзн', 'был', negative
'S МН МУЖ ИМ НЕОД', 'ДОМ', 'присвяз', 'дома', negative
'ADV', 'ВСЕГО', 'огранич', 'всего', negative
'NUM', '367', 'количест', '367', negative
'S МН МУЖ РОД НЕОД', 'РАЗ', 'квазиагент', 'раз', negative
'NID', 'АААААА', 'предик', 'аааааа', negative
'S ЕД СРЕД ТВОР НЕОД', 'МЕТРО', '2-компл', 'метро', negative
'V СОВ ИЗЪЯВ ПРОШ МН', 'ЗАКРЫВАТЬ', '', 'закрыли', negative
'S', '>', '1-компл', '>', negative
'PR', 'В', '2-компл', 'В', negative
'S ЕД МУЖ ПР НЕОД', 'КИЕВ', 'предл', 'Киеве', negative
'S ЕД МУЖ ИМ НЕОД', 'ТАНК', 'предик', 'танк', negative
'S', 'Т', 'аппоз', 'Т', negative
'NUM', '34', 'аппоз', '34', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'СТАЛКИВАТЬСЯ', '', 'столкнулся', negative
'PR', 'С', '1-компл', 'с', negative
'NID', 'ОПЕЛЕМ', 'предл', 'Опелем', negative
'NID', 'HTTP', 'аппоз', 'http', negative
'S', 'T.CO', 'разъяснит', 't.co', negative
'S', '4GLYXHAMWQ', 'аппоз', '4gLyxHAmwQ', negative
'S', 'ТАНКІСТ', 'аппоз', 'танкіст', negative
'NID', 'ЩЕ', 'аппоз', 'ще', negative
'S', 'ВОЮЄ', 'аппоз', 'воює', negative
'ADV', 'ПОЧЕМУ', 'обст', 'Почему', negative
'S ЕД ЖЕН ИМ ОД', 'Я', 'предик', 'я', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ПОВЗРОСЛЕТЬ', '', 'повзрослела', negative
'ADV', 'ТАК', 'огранич', 'так', negative
'ADV', 'БЫСТРО', 'обст', 'быстро', negative
'PART', 'НЕ', 'огранич', 'Не', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ХОТЕТЬ', '', 'хочу', negative
'PR', 'В', '1-компл', 'в', negative
'S ЕД ЖЕН ВИН НЕОД', 'ШКОЛА', 'предл', 'школу', negative
'S ЕД СРЕД ИМ НЕОД', 'СПАСИБО', '', 'Спасибо', negative
'A МН ДАТ', 'МАЙСКИЙ', 'опред', 'майским', negative
'S МН МУЖ ДАТ НЕОД', 'ПРАЗДНИК', '1-компл', 'праздникам', negative
'PR', 'ЗА', '2-компл', 'за', negative
'NUM', '3', 'количест', '3', negative
'S ЕД МУЖ РОД НЕОД', 'КИЛОГРАММ', 'предл', 'кг', negative
'S', '#ХВАТИТЖРАТЬ', 'примыкат', '#хватитжрать', negative
'S', '#АНТОННАДИЕТЕ', 'аппоз', '#АнтонНаДиете', negative
'S ЕД МУЖ ВИН НЕОД', 'БЛИН', 'об-аппоз', 'Блин', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ХОТЕТЬ', '', 'хочу', negative
'PART', 'УЖЕ', 'огранич', 'уже', negative
'A ЕД ЖЕН ВИН', 'ТЕПЛЫЙ', 'опред', 'теплую', negative
'S ЕД ЖЕН ВИН НЕОД', 'ПОГОДА', '1-компл', 'погоду', negative
'CONJ', 'КАК', 'fictit', 'Как', negative
'PART', 'ЖЕ', 'огранич', 'же', negative
'NID', 'ХРЕНОВО', '', 'хреново', negative
'S ЕД СРЕД ВИН НЕОД', 'ЧТО', '1-компл', 'что', negative
'S', '@AMERICAN_JULIA', 'предик', '@american_julia', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ЗАБЫВАТЬ', 'сравн-союзн', 'забыла', negative
'PR', 'У', 'обст', 'у', negative
'S ЕД МУЖ РОД ОД', 'Я', 'предл', 'меня', negative
'S ЕД ЖЕН ВИН НЕОД', 'ЗАРЯДКА', '1-компл', 'зарядку', negative
'NID', 'ПИЗДЕЦ', '', 'Пиздец', negative
'PART', 'НЕ', 'огранич', 'не', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ХОТЕТЬ', 'примыкат', 'хочу', negative
'PR', 'НА', '1-компл', 'на', negative
'S ЕД ЖЕН ВИН НЕОД', 'УЧЕБА', 'предл', 'учебу', negative
'S', '@STICKSWIT', 'разъяснит', '@stickswit', negative
'NID', 'THE', 'аппоз', 'The', negative
'NID', 'RETURN', 'аппоз', 'return', negative
'NID', 'OF', 'аппоз', 'of', negative
'NID', 'MONDAY', 'аппоз', 'Monday', negative
'A КР ЕД СРЕД', 'ВИДИМЫЙ', 'присвяз', 'Видимо', negative
'S ЕД МУЖ ИМ НЕОД', 'АЛЬТАИР', 'предик', 'Альтаир', negative
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'БЫТЬ', '', 'был', negative
'S ЕД МУЖ ТВОР ОД', 'КАЗАК', 'присвяз', 'казаком', negative
'CONJ', 'ЕСЛИ', 'обст', 'если', negative
'S ЕД МУЖ ИМ НЕОД', 'ГУГЛ', 'предик', 'гугл', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ВЫДАВАТЬ', 'подч-союзн', 'выдал', negative
'S ЕД МУЖ ДАТ ОД', 'Я', '2-компл', 'мне', negative
'S ЕД СРЕД ВИН НЕОД', 'ЭТО', '1-компл', 'это', negative
'S ЕД ЖЕН ИМ НЕОД', 'ИЗДЕВКА', 'предик', 'Издёвка', negative
'S ЕД СРЕД РОД НЕОД', 'МИРОЗДАНИЕ', 'квазиагент', 'мироздания', negative
'PR', 'В', 'обст', 'в', negative
'S ЕД МУЖ ПР НЕОД', 'ЛАРЕК', 'предл', 'ларьке', negative
'PR', 'У', 'атриб', 'у', negative
'S ЕД СРЕД РОД НЕОД', 'МЕТРО', 'предл', 'метро', negative
'PART', 'ТОЛЬКО', 'огранич', 'ТОЛЬКО', negative
'S ЕД МУЖ ИМ НЕОД', 'АДРЕНАЛИН', '', 'адреналин', negative
'PR', 'ИЗ', 'обст', 'из', negative
'A ЕД МУЖ РОД', 'ПИТЬЕВОЙ', 'предл', 'питьевого', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'СДЕРЖИВАТЬСЯ', 'примыкат', 'Сдержалась', negative
'S ЕД ЖЕН РОД ОД', 'ДАМА', '', 'дамы', negative
'CONJ', 'И', 'сочин', 'и', negative
'S ЕД МУЖ РОД ОД', 'ГОСПОДЬ', 'соч-союзн', 'господа', negative
'A СРАВ', 'УЗКИЙ', 'атриб', 'уже', negative
'PR', 'В', 'атриб', 'в', negative
'S ЕД ЖЕН ВИН НЕОД', 'ШКОЛА', 'предл', 'школу', negative
'NID', 'БРРР', 'предик', 'бррр', negative
'ADV', 'НАДО', 'присвяз', 'надо', negative
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'БЫТЬ', '', 'было', negative
'PART', 'ТОЖЕ', 'огранич', 'тоже', negative
'ADV', 'СРАЗУ', 'обст', 'сразу', negative
'A ЕД МУЖ ВИН НЕОД', 'ВТОРОЙ', '1-компл', 'второй', negative
'V НЕСОВ ИНФ', 'ПРОБИВАТЬ', 'предик', 'пробивать', negative
'PART', 'ТОЛЬКО', 'огранич', 'только', negative
'S ЕД ЖЕН РОД НЕОД', 'СЕРЕЖКА', '1-компл', 'сережки', negative
'PART', 'НЕ', 'огранич', 'не', negative
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'БЫТЬ', 'сент-соч', 'было', negative
'NID', 'АХАХАХА', 'примыкат', 'Ахахаха', negative
'NID', 'БЛЯТЬ', 'аппоз', 'блять', negative
'S ЕД ЖЕН РОД НЕОД', 'СЕРЕЖКА', 'атриб', 'Сережки', negative
'A ЕД СРЕД ИМ', 'ЖУТКИЙ', 'опред', 'жуткое', negative
'S ЕД СРЕД ИМ НЕОД', 'ПОСЛЕВКУСИЕ', '', 'послевкусие', negative
'PR', 'ПОСЛЕ', 'атриб', 'после', negative
'S ЕД СРЕД РОД НЕОД', 'ВЧЕРА', 'предл', 'вчера', negative
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'Я', negative
'PR', 'НА', 'fictit', 'на', negative
'ADV', 'СТОЛЬКО', 'fictit', 'столько', negative
'S ЕД МУЖ ИМ НЕОД', 'ЛОХ', '', 'лох', negative
'CONJ', 'ЧТО', '2-компл', 'что', negative
'PART', 'НЕ', 'огранич', 'не', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'МОЧЬ', 'подч-союзн', 'могу', negative
'V СОВ ИНФ', 'ПОЛУЧАТЬ', '1-компл', 'получить', negative
'S ЕД МУЖ ВИН НЕОД', 'ЗАЧЕТ', '1-компл', 'зачет', negative
'PR', 'ПО', '2-компл', 'по', negative
'A ЕД МУЖ ДАТ', 'АНГЛИЙСКИЙ', 'предл', 'английскому', negative
'PART', 'ПРОСТО', 'огранич', 'просто', negative
'S ЕД МУЖ ДАТ ОД', 'Я', 'дат-сент', 'мне', negative
'ADV', 'СЛОЖНО', 'обст', 'сложно', negative
'V СОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ВЫУЧИВАТЬ', 'разъяснит', 'выучит', negative
'NUM', '90', 'количест', '90', negative
'S МН СРЕД РОД НЕОД', 'СЛОВО', 'предик', 'слов', negative
'S', 'Я', 'предик', 'Я', negative
'PART', 'НЕ', 'огранич', 'не', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'МОЧЬ', '1-компл', 'могу', negative
'NID', 'ВСТААААТЬ', '1-компл', 'встаааать', negative
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'предик', 'ты', negative
'A ЕД СРЕД ВИН', 'ПРОШЛЫЙ', 'опред', 'прошлое', negative
'S ЕД СРЕД ВИН НЕОД', 'ЛЕТО', 'длительн', 'лето', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л', 'ПОМНИТЬ', 'разъяснит', 'помнишь', negative
'PART', 'ДА', 'вводн', 'да', negative
'CONJ', 'А', 'сочин', 'а', negative
'S ЕД МУЖ ИМ ОД', 'Я', '1-компл', 'я', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'НЕТ', 'разъяснит', 'нет', negative
'S ЕД ЖЕН ИМ НЕОД', 'ГОЛОВА', 'предик', 'Голова', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'БОЛЕТЬ', 'примыкат', 'болит', negative
'PR', 'В', 'обст', 'в', negative
'S ЕД СРЕД ПР НЕОД', 'ДЕТСТВО', 'предл', 'детстве', negative
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ДУМАТЬ', '', 'думала', negative
'CONJ', 'ЧТО', '1-компл', 'что', negative
'S МН МУЖ ИМ ОД', 'МУЖИК', 'предик', 'мужики', negative
'PR', 'С', 'атриб', 'с', negative
'S ЕД СРЕД ТВОР НЕОД', 'ПУЗО', 'предл', 'пузом', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л', 'РОЖАТЬ', 'подч-союзн', 'рожают', negative
'S МН ЖЕН ВИН ОД', 'СОБАКА', '1-компл', 'собак', negative
'CONJ', 'ИЛИ', 'сочин', 'или', negative
'S МН ЖЕН ВИН ОД', 'ОБЕЗЬЯНКА', 'соч-союзн', 'обезьянок', negative
'CONJ', 'КОГДА', 'fictit', 'когда', negative
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'БЫТЬ', 'подч-союзн', 'была', negative
'A ЕД ЖЕН ИМ', 'МАЛЕНЬКИЙ', 'fictit', 'маленькая', negative
'ADV', 'ВСЕГДА', 'обст', 'всегда', negative
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ПОКУПАТЬ', 'сочин', 'покупала', negative
'S ЕД МУЖ ВИН НЕОД', 'ШАМПУНЬ', '1-компл', 'шампунь', negative
'NID', 'ГАРНЬЕР', 'аппоз', 'Гарньер', negative
'PR', 'ДЛЯ', 'атриб', 'для', negative
'S МН ЖЕН РОД ОД', 'БЛОНДИНКА', 'предл', 'блондинок', negative
'PR', 'В', 'обст', 'в', negative
'S ЕД ЖЕН ПР НЕОД', 'НАДЕЖДА', 'предл', 'надежде', negative
'CONJ', 'ЧТО', '1-компл', 'что', negative
'A МН ИМ', 'МОЙ', 'опред', 'мои', negative
'S МН МУЖ ИМ НЕОД', 'ВОЛОС', 'предик', 'волосы', negative
'V СОВ ИЗЪЯВ НЕПРОШ МН 3-Л', 'СВЕТЛЕТЬ', 'подч-союзн', 'посветлеют', negative
'NID', 'ДАА', 'предик', 'даа', negative
'A ЕД СРЕД ИМ', 'ВЕСЬ', 'суб-копр', 'все', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'ИЗМЕНЯТЬСЯ', 'сент-соч', 'изменилось', negative
'A КР ЕД СРЕД', 'ГРУСТНЫЙ', 'сочин', 'грустно', negative
'PART', 'ДАЖЕ', 'fictit', 'даже', negative
'S ЕД СРЕД ИМ НЕОД', 'ЧТО', 'fictit', 'Что', negative
'PR', 'ЗА', 'вспом', 'за', negative
'S ЕД СРЕД ВИН НЕОД', 'НАЧАЛО', 'предл', 'начало', negative
'S ЕД ЖЕН РОД НЕОД', 'НЕДЕЛЯ', 'квазиагент', 'недели', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ТЕРЯТЬ', 'fictit', 'Потерял', negative
'A ЕД МУЖ ВИН НЕОД', 'СТУДЕНЧЕСКИЙ', '1-компл', 'студенческий', negative
'PART', 'И', 'огранич', 'и', negative
'S ЕД ЖЕН ВИН НЕОД', 'КАРТА', '1-компл', 'карту', negative
'NID', 'VISA', 'аппоз', 'VISA', negative
'NID', 'АЗАЗА', 'примыкат', 'Азаза', negative
'S ЕД ЖЕН ИМ НЕОД', 'ЛИТЕРАТУРА', 'fictit', 'Литература', negative
'S', 'ФУУ.У', 'огранич', 'фуу.У', negative
'S ЕД МУЖ РОД ОД', 'Я', 'примыкат', 'меня', negative
'A ЕД СРЕД ИМ', 'ТАКОЙ', 'опред', 'такое', negative
'A ЕД СРЕД ИМ', 'СТРАННЫЙ', 'опред', 'странное', negative
'S ЕД СРЕД ИМ НЕОД', 'ОЩУЩЕНИЕ', 'об-аппоз', 'ощущение', negative
'S ЕД СРЕД ИМ НЕОД', 'ЧТО', 'предик', 'что', negative
'PART', 'НЕ', 'огранич', 'не', negative
'S ЕД ЖЕН ИМ НЕОД', 'СУДЬБА', 'изъясн', 'судьба', negative
'S МН ДАТ ОД', 'МЫ', '1-компл', 'нам', negative
'PR', 'С', 'атриб', 'с', negative
'S МН ЖЕН ТВОР НЕОД', 'ТАЧКА', 'предл', 'тачками', negative
'NID', 'ПОФОТАТЬСЯ', 'аппоз', 'пофотаться', negative
'A ЕД МУЖ ИМ', 'ВТОРОЙ', 'опред', 'Второй', negative
'S ЕД МУЖ ИМ НЕОД', 'РАЗ', 'разъяснит', 'раз', negative
'S ЕД МУЖ ИМ НЕОД', 'ДОЖДЬ', 'разъяснит', 'дождь', negative
'NID', 'ФИГАЧИТ', 'аппоз', 'фигачит', negative
'PR', 'В', 'атриб', 'в', negative
'S ЕД МУЖ ВИН НЕОД', 'ДЕНЬ', 'предл', 'день', negative
'COM СЛ', 'ФОТО', 'композ', 'фото', negative
'S ЕД МУЖ РОД НЕОД', 'СЕТ', 'квазиагент', 'сета', negative
'PART', 'НУ', 'fictit', 'Ну', negative
'PART', 'ВОТ', 'огранич', 'вот', negative
'S ЕД МУЖ ИМ НЕОД', 'АНАХАЙМ', 'fictit', 'Анахайм', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ПРОИГРЫВАТЬ', 'fictit', 'проиграл', negative
'A ЕД МУЖ ВИН НЕОД', 'СЕДЬМОЙ', 'опред', 'седьмой', negative
'S ЕД МУЖ ВИН НЕОД', 'МАТЧ', '1-компл', 'матч', negative
'NUM', '2', 'нум-аппоз', '2', negative
'NUM', '3', 'кратн', '3', negative
'ADV', 'ТЕПЕРЬ', '2-компл', 'теперь', negative
'PR', 'ПО ПОВОДУ', 'атриб', 'по поводу', negative
'S ЕД МУЖ РОД ОД', 'ДАЦЮК', 'предл', 'Дацюка', negative
'PART', 'ЕЩЕ', 'огранич', 'еще', negative
'ADV СРАВ', 'МНОГО', 'предик', 'больше', negative
'S ЕД СРЕД РОД НЕОД', 'НЫТЬЕ', '1-компл', 'нытья', negative
'V СОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'НАЧИНАТЬСЯ', 'сочин', 'начнется', negative
'ADV', 'ВДВОЙНЕ', 'огранич', 'Вдвойне', negative
'A КР ЕД СРЕД', 'ОБИДНЫЙ', 'сент-соч', 'обидно', negative
'S ЕД ЖЕН ИМ НЕОД', 'ШКОЛА', '', 'Школа', negative
'S ЕД СРЕД ВИН НЕОД', 'ЧТО', '1-компл', 'что', negative
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'предик', 'ты', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л', 'ДЕЛАТЬ', 'fictit', 'делаешь', negative
'NID', 'АХАХАХА', 'предик', 'Ахахаха', negative
'V СОВ ПОВ ЕД 2-Л', 'ПРЕКРАЩАТЬ', 'fictit', 'прекрати', negative
'S', 'В', 'примыкат', 'В', negative
'NID', 'ШКОЛОТУ', 'аппоз', 'школоту', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ЗАВИДОВАТЬ', '1-компл', 'Завидую', negative
'S МН ДАТ ОД', 'ТОТ', '1-компл', 'тем', negative
'S ЕД МУЖ ИМ ОД', 'КТО', 'предик', 'кто', negative
'PART', 'УЖЕ', 'огранич', 'уже', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'СМОТРЕТЬ', 'fictit', 'посмотрел', negative
'A ЕД МУЖ РОД', 'ЖЕЛЕЗНЫЙ', 'опред', 'Железного', negative
'S ЕД МУЖ РОД ОД', 'ЧЕЛОВЕК', '1-компл', 'человека', negative
'NUM', '3', 'количест', '3', negative
'S', 'Я', 'предик', 'Я', negative
'PART', 'ЕЩЕ', 'огранич', 'ещё', negative
'PART', 'НЕ', 'огранич', 'не', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'УСПЕВАТЬ', 'сент-соч', 'успела', negative
'V НЕСОВ ИНФ', 'СХОДИТЬ', '1-компл', 'сходить', negative
'S', 'Я', 'предик', 'Я', negative
'PR', 'ЗА', 'обст', 'за', negative
'A ЕД МУЖ ВИН НЕОД', 'РУССКИЙ', 'предл', 'русский', negative
'ADV', 'ТАК', 'огранич', 'так', negative
'PART', 'НЕ', 'огранич', 'не', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ВОЛНОВАТЬСЯ', 'релят', 'волнуюсь', negative
'CONJ', 'КАК', 'сравнит', 'как', negative
'PR', 'ЗА', 'сравн-союзн', 'за', negative
'S ЕД ЖЕН ВИН НЕОД', 'АЛГЕБРА', 'предл', 'алгебру', negative
'PR', 'ПО', 'атриб', 'По', negative
'S ЕД МУЖ ДАТ ОД', 'РУССКИЙ', 'предл', 'русскому', negative
'S ЕД СРЕД ИМ НЕОД', 'ВСЕ', 'предик', 'все', negative
'A КР ЕД СРЕД', 'ВНЯТНЫЙ', 'fictit', 'внятно', negative
'ADV', 'ХОТЬ', 'обст', 'хоть', negative
'CONJ', 'ТАК КАК', 'примыкат', 'так как', negative
'V', 'НЕ', 'подч-союзн', 'не', negative
'PR', 'С', 'обст', 'с', negative
'S ЕД МУЖ ТВОР ОД', 'КТО', 'предл', 'кем', negative
'NID', 'ПРЕПОВЫПЕРВЕРТИТЬ', 'аппоз', 'преповыпервертить', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 1-Л', 'ЕСТЬ', 'разъяснит', 'Едим', negative
'PR', 'В', 'обст', 'в', negative
'S ЕД ЖЕН ПР НЕОД', 'МАШИНА', 'предл', 'машине', negative
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'Я', negative
'CONJ', 'А', 'разъяснит', 'А', negative
'ADV', 'ПОЧЕМУ', 'разъяснит', 'почему', negative
'PR', 'У', 'обст', 'у', negative
'S ЕД МУЖ РОД ОД', 'МАКСИМ', 'предл', 'Максима', negative
'ADV', 'ЦЕЛИКОМ', 'огранич', 'целиком', negative
'S ЕД СРЕД ИМ НЕОД', 'ОКНО', 'соч-союзн', 'окно', negative
'V НЕСОВ СТРАД ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ОПУСКАТЬ', 'разъяснит', 'опускается', negative
'CONJ', 'А', 'сент-соч', 'а', negative
'PR', 'У', 'соч-союзн', 'у', negative
'S ЕД МУЖ РОД ОД', 'Я', 'предл', 'меня', negative
'PART', 'ТОЛЬКО', 'огранич', 'только', negative
'PR', 'НА', 'обст', 'на', negative
'S ЕД ЖЕН ВИН НЕОД', 'ПОЛОВИНА', 'предл', 'половину', negative
'S ЕД МУЖ ИМ ОД', 'ПАПА', 'примыкат', 'Папа', negative
'CONJ', 'ДА', 'сочин', 'Да', negative
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'предик', 'ты', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л', 'МОЧЬ', 'разъяснит', 'можешь', negative
'ADV', 'ВООБЩЕ', 'обст', 'вообще', negative
'ADV', 'СРАЗУ', 'обст', 'сразу', negative
'S ЕД ЖЕН ИМ НЕОД', 'ДВЕРЬ', 'соч-союзн', 'дверь', negative
'S ЕД МУЖ РОД НЕОД', 'ОТК', 'квазиагент', 'отк', negative
'ADV', 'ВНЕЗАПНО', 'обст', 'Внезапно', negative
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'НАДОЕДАТЬ', '', 'Надоел', negative
'S ЕД МУЖ ИМ НЕОД', 'АЙФОН', 'предик', 'iPhone', negative
'NID', 'HTTP', 'fictit', 'http', negative
'S', 'T.CO', 'огранич', 't.co', negative
'S', 'KI1NZFFHGK', 'аппоз', 'kI1NzFfhgK', negative
'PR', 'С', 'разъяснит', 'С', negative
'S МН РОД ОД', 'ВЫ', 'предл', 'вас', negative
'NID', 'ЛАЙК', 'аппоз', 'лайк', negative
'CONJ', 'И', 'сочин', 'и', negative
'NID', 'РЕТВИТ', 'соч-союзн', 'ретвит', negative
'S ЕД МУЖ ВИН НЕОД', 'ПОДКАСТ', '1-компл', 'Подкаст', negative
'S ЕД МУЖ ДАТ НЕОД', 'СМОГ', '1-компл', 'смогу', negative
'V СОВ ИНФ', 'НАЧИНАТЬ', 'fictit', 'начать', negative
'V НЕСОВ ИНФ', 'ЗАПИСЫВАТЬ', 'разъяснит', 'записывать', negative
'PART', 'ТОЛЬКО', 'огранич', 'только', negative
'PR', 'В', 'обст', 'в', negative
'S ЕД МУЖ ВИН НЕОД', 'ЧАС', 'предл', 'час', negative
'S ЕД ЖЕН РОД НЕОД', 'НОЧЬ', 'квазиагент', 'ночи', negative
'CONJ', 'НО', 'примыкат', 'Но', negative
'PR', 'К', 'присвяз', 'к', negative
'S ЕД СРЕД ДАТ НЕОД', 'УТРО', 'предл', 'утру', negative
'S ЕД МУЖ ИМ ОД', 'ОН', 'предик', 'он', negative
'PART', 'УЖЕ', 'огранич', 'уже', negative
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'БЫТЬ', 'соч-союзн', 'будет', negative
'S', '@GUBINDIMA', 'предик', '@gubindima', negative
'V СОВ ПОВ ЕД 2-Л', 'ПОЧИТАТЬ', '1-компл', 'почитай', negative
'A ЕД ЖЕН ВИН', 'МОЙ', 'опред', 'мою', negative
'S ЕД ЖЕН ВИН НЕОД', 'ЗАМЕТКА', '1-компл', 'заметку', negative
'PR', 'НА', 'атриб', 'на', negative
'S ЕД МУЖ ПР ОД', 'СНОБ', 'предл', 'снобе', negative
'PR', 'О', '1-компл', 'об', negative
'S ЕД СРЕД ПР НЕОД', 'ЭТО', 'предл', 'этом', negative
'S', 'Я', 'предик', 'Я', negative
